"Story","Title","Result","Date","Stability","Duration (s)"
"Captura de Datos Generales del Asegurado","Completar datos generales y avanzar a ubicaciones","SUCCESS","2026-04-20T22:42:58.728250914Z[Etc/UTC]","0.0","10.18"
"Registro de Ubicaciones de Riesgo en UI","Agregar ubicación completa con CP válido","SUCCESS","2026-04-20T22:43:18.509869178Z[Etc/UTC]","0.0","12.05"
"Registro de Ubicaciones de Riesgo en UI","Agregar ubicación incompleta sin garantías muestra error de validación","SUCCESS","2026-04-20T22:43:30.655321357Z[Etc/UTC]","0.0","19.57"
"Registro de Ubicaciones de Riesgo en UI","Avanzar a información técnica con ubicación registrada","SUCCESS","2026-04-20T22:43:50.346642168Z[Etc/UTC]","0.0","14.29"
"Flujo Completo de Cotización en la Interfaz de Usuario","Flujo completo desde dashboard hasta prima calculada con ubicación incompleta","SUCCESS","2026-04-20T22:44:20.557963238Z[Etc/UTC]","0.0","26.19"
"Flujo Completo de Cotización en la Interfaz de Usuario","Flujo básico desde cotizador hasta prima calculada","SUCCESS","2026-04-20T22:44:46.868690432Z[Etc/UTC]","0.0","15.17"
